id,name
8,agent 13
24,angel dust
25,angel salvadore
26,angela
38,arachne
40,arclight
41,ardina
43,ariel
44,armor
51,atom girl
55,aurora
62,batgirl
63,batgirl
64,batgirl iii
65,batgirl iv
66,batgirl v
67,batgirl vi
72,batwoman v
80,big barda
85,binary
86,bionic woman
96,black canary
97,black canary
98,black cat
103,black mamba
106,black widow
107,black widow ii
113,bling!
114,blink
119,bloodaxe
128,bomb queen
129,boom-boom
130,boomer
139,buffy
141,bumblebee
145,callisto
155,captain marvel
162,cat
163,cat ii
164,catwoman
167,cerebra
171,cheetah
172,cheetah ii
173,cheetah iii
177,claire bennet
185,copycat
190,crystal
197,dagger
199,daphne powell
205,darkstar
210,dazzler
226,domino
228,donna troy
235,elastigirl
237,elektra
238,elle bishop
240,emma frost
241,enchantress
242,energy
252,faora
254,fighting spirit
256,firebird
258,firestar
270,frenzy
271,frigga
274,gamora
283,giganta
285,goblin queen
294,granny goodness
308,harley quinn
313,hawkeye ii
314,hawkgirl
316,hawkwoman
317,hawkwoman ii
318,hawkwoman iii
320,hela
322,hellcat
326,hit-girl
328,hollow
329,hope summers
333,huntress
334,husk
341,indigo
343,invisible woman
347,isis
355,jean grey
357,jennifer kale
358,jesse quick
359,jessica cruz
360,jessica jones
361,jessica sanders
370,jolt
371,jubilee
376,jyn erso
380,kathryn janeway
381,katniss everdeen
387,killer frost
399,lady bullseye
400,lady deathstrike
406,light lass
411,liz sherman
419,luna
420,lyja
431,mantis
433,marvel girl
439,maxima
440,maya herrera
441,medusa
442,meltdown
444,mera
447,meteorite
453,minna murray
454,misfit
455,miss martian
462,mockingbird
469,monica dawson
471,moonstone
477,ms marvel ii
480,mystique
483,namora
484,namorita
487,nebula
488,negasonic teenage warhead
492,niki sanders
493,nina theroux
497,nova
505,oracle
512,penance i
517,phantom girl
518,phoenix
522,plastique
523,poison ivy
524,polaris
525,power girl
531,psylocke
541,rachel pirzad
544,raven
556,renata soliz
557,rey
562,ripcord
567,robin vi
569,rogue
573,sage
581,scarlet witch
582,scorpia
587,shadow lass
588,shadowcat
591,she-hulk
592,she-thing
594,shriek
595,shrinking violet
596,sif
597,silk
598,silk spectre
599,silk spectre ii
601,silverclaw
604,siren
605,siren ii
606,siryn
609,snowbird
612,songbird
618,speedy
620,spider-girl
621,spider-gwen
625,spider-woman
626,spider-woman ii
627,spider-woman iii
628,spider-woman iv
631,stacy x
634,starfire
635,stargirl
638,stephanie powell
640,storm
645,supergirl
654,t-x
656,tempest
662,thor girl
667,thundra
669,tigra
675,tracy strauss
678,triplicate girl
681,ultragirl
684,vagabond
685,valerie hart
686,valkyrie
693,vertigo ii
695,vindicator
698,violet parr
701,vixen
706,warbird
710,wasp
713,white canary
714,white queen
718,wolfsbane
720,wonder girl
722,wonder woman
723,wondra
725,x-23
729,yellowjacket ii
732,zatanna
