"operation";"type";"manufacturer";"engine_type";"engines";"year_manufacturing";"seating";"fatalities"
"OPERADOR DE AERONAVE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"PISTÃO";"MONOMOTOR";"1977";"4";"1"
"ESCOLA DE AVIAÇÃO";"HELICÓPTERO";"ROBINSON HELICOPTER";"PISTÃO";"MONOMOTOR";"1997";"2";"2"
"OPERADOR DE AERONAVE";"AVIÃO";"CESSNA AIRCRAFT";"PISTÃO";"MONOMOTOR";"1979";"1";"1"
"OPERADOR PARTICULAR";"HELICÓPTERO";"EUROCOPTER FRANCE";"TURBOEIXO";"MONOMOTOR";"2005";"7";"1"
"ÓRGÃO PÚBLICO";"HELICÓPTERO";"EUROCOPTER FRANCE";"TURBOEIXO";"MONOMOTOR";"1997";"6";"1"
"OPERADOR PARTICULAR";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"PISTÃO";"MONOMOTOR";"1976";"4";"1"
"OPERADOR PARTICULAR";"HELICÓPTERO";"BELL HELICOPTER";"TURBOEIXO";"MONOMOTOR";"1973";"5";"1"
"OPERADOR PARTICULAR";"ULTRALEVE";"***";"PISTÃO";"MONOMOTOR";"2009";"2";"1"
"OPERADOR DE AERONAVE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"PISTÃO";"MONOMOTOR";"1993";"1";"1"
"OPERADOR DE AERONAVE";"AVIÃO";"CESSNA AIRCRAFT";"PISTÃO";"MONOMOTOR";"1946";"2";"2"
"OPERADOR DE AERONAVE";"AVIÃO";"NEIVA INDUSTRIA AERONAUTICA";"PISTÃO";"MONOMOTOR";"1974";"1";"1"
"OPERADOR DE AERONAVE";"HELICÓPTERO";"HELIBRAS";"TURBOEIXO";"MONOMOTOR";"2009";"6";"1"
"OPERADOR PARTICULAR";"ULTRALEVE";"ROBSON DIAS LIMA";"PISTÃO";"MONOMOTOR";"2011";"2";"1"
